Sector,Weekly,Monthly,Yearly
 BANK,0.427415488,7.65,73.08
 AUTO,2.145524607,11.33,64.88
 FINANCIAL SERVICES,1.508914661,7.63,65.61
 FMCG,0.709362147,3.66,18.62
 IT,-0.464738154,4.69,84.56
 MEDIA,1.803163937,18.65,37.78
 METAL,5.60549869,7.42,170.62
 PHARMA,1.201728135,2.34,39.93
 PSU BANK,1.98305501,16.2,91.98
 PRIVATE BANK,0.166553558,5.59,66.45
 REALTY,6.694813028,16.69,79.28
 COMMODITIES,3.182718985,9.3,85.79
 ENERGY,4.094946542,12.79,48.62
 SERVICES SECTOR,0.972605866,6.06,63.59
